 * Serving Flask app "project"
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
/usr/local/lib/python3.7/dist-packages/flask_sqlalchemy/__init__.py:834: FSADeprecationWarning: SQLALCHEMY_TRACK_MODIFICATIONS adds significant overhead and will be disabled by default in the future.  Set it to True or False to suppress this warning.
  'SQLALCHEMY_TRACK_MODIFICATIONS adds significant overhead and '
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
192.168.1.10 - - [04/Feb/2021 10:56:42] "GET / HTTP/1.1" 200 -
192.168.1.10 - - [04/Feb/2021 10:56:42] "GET /static/js/jquery.min.js HTTP/1.1" 304 -
192.168.1.10 - - [04/Feb/2021 10:56:42] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 -
192.168.1.10 - - [04/Feb/2021 10:56:42] "GET /static/logo.svg HTTP/1.1" 304 -
192.168.1.10 - - [04/Feb/2021 10:56:44] "GET /login HTTP/1.1" 200 -
192.168.1.10 - - [04/Feb/2021 10:56:56] "POST /login HTTP/1.1" 302 -
192.168.1.10 - - [04/Feb/2021 10:56:56] "GET / HTTP/1.1" 200 -
192.168.1.10 - - [04/Feb/2021 10:57:00] "GET /sensors HTTP/1.1" 200 -
192.168.1.10 - - [04/Feb/2021 10:57:08] "GET /logout HTTP/1.1" 302 -
192.168.1.10 - - [04/Feb/2021 10:57:08] "GET / HTTP/1.1" 200 -
192.168.1.12 - - [04/Feb/2021 10:57:09] "GET /login HTTP/1.1" 200 -
192.168.1.12 - - [04/Feb/2021 10:57:13] "POST /login HTTP/1.1" 302 -
192.168.1.12 - - [04/Feb/2021 10:57:14] "GET / HTTP/1.1" 200 -
192.168.1.12 - - [04/Feb/2021 10:57:16] "GET /sensors HTTP/1.1" 200 -
192.168.1.12 - - [04/Feb/2021 10:57:22] "GET /light HTTP/1.1" 200 -
192.168.1.12 - - [04/Feb/2021 10:57:23] "GET /camera HTTP/1.1" 200 -
192.168.1.12 - - [04/Feb/2021 10:57:24] "GET /video_feed HTTP/1.1" 200 -
192.168.1.12 - - [04/Feb/2021 10:57:29] "GET /temp_control HTTP/1.1" 200 -
192.168.1.12 - - [04/Feb/2021 10:57:33] "GET /sensors HTTP/1.1" 200 -
192.168.1.12 - - [04/Feb/2021 10:57:34] "GET /light HTTP/1.1" 200 -
192.168.1.12 - - [04/Feb/2021 10:57:36] "GET /camera HTTP/1.1" 200 -
192.168.1.12 - - [04/Feb/2021 10:57:36] "GET /video_feed HTTP/1.1" 200 -
192.168.1.12 - - [04/Feb/2021 10:57:38] "GET /light HTTP/1.1" 200 -
192.168.1.12 - - [04/Feb/2021 10:57:43] "GET /sensors HTTP/1.1" 200 -
192.168.1.12 - - [04/Feb/2021 10:57:45] "GET /temp_control HTTP/1.1" 200 -
192.168.1.12 - - [04/Feb/2021 10:57:48] "GET /logout HTTP/1.1" 302 -
192.168.1.12 - - [04/Feb/2021 10:57:48] "GET / HTTP/1.1" 200 -
